age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?
26, 13,"shanxi province, shanxi, china (map)",mandarin1,mandarin,female ,256,china,FALSE
38, 14,"nanjing, china (map)",mandarin2,mandarin,female ,257,china,FALSE
43, 10,"jilin city, jilin, china (map)",mandarin3,mandarin,male ,258,china,FALSE
24, 6,"shanghai, china (map)",mandarin4,mandarin,female ,259,china,FALSE
31, 12,"beijing, china (map)",mandarin5,mandarin,female ,260,china,FALSE
28, 12,"le shan, sichuan, china (map)",mandarin6,mandarin,female ,261,china,FALSE
22, 5,"berkeley, california, usa (map)",mandarin7,mandarin,male ,262,china,FALSE
29, 12,"jingmen, hubei, china (map)",mandarin8,mandarin,male ,430,china,FALSE
38, 12,"shanghai, china (map)",mandarin9,mandarin,male ,451,china,FALSE
19, 3,"beijing, china (map)",mandarin10,mandarin,male ,491,china,FALSE
53, 13,"kao-hsiung, taiwan (map)",mandarin11,mandarin,female ,607,china,FALSE
23, 1,"singapore, singapore (map)",mandarin12,mandarin,male ,623,china,FALSE
29, 13,"nantou, taiwan (map)",mandarin13,mandarin,male ,685,china,FALSE
49, 20,"dalian, liaoning, china (map)",mandarin14,mandarin,male ,719,china,FALSE
28, 11,"tainan, taiwan (map)",mandarin15,mandarin,female ,746,china,FALSE
32, 10,"taipei, taiwan (map)",mandarin16,mandarin,male ,750,china,FALSE
26, 13,"wuhan, hubei, china (map)",mandarin17,mandarin,male ,796,china,FALSE
29, 13,"taoyuan, taiwan (map)",mandarin18,mandarin,female ,872,china,FALSE
27, 13,"qinzhou, guangxi, china (map)",mandarin19,mandarin,male ,916,china,FALSE
40, 12,"ping tong, taiwan (map)",mandarin20,mandarin,female ,931,china,FALSE
38, 9,"chengdu, sichuan, china (map)",mandarin21,mandarin,female ,984,china,FALSE
39, 11,"haikou, hainan, china (map)",mandarin22,mandarin,female ,1019,china,FALSE
46, 13,"kao-hsiung, taiwan (map)",mandarin23,mandarin,female ,1044,china,FALSE
21, 10,"shanghai, china (map)",mandarin24,mandarin,female ,1089,china,FALSE
28, 13,"wuxi, jiangsu, china (map)",mandarin25,mandarin,female ,1125,china,FALSE
31, 12,"emei, sichuan, china (map)",mandarin26,mandarin,female ,1141,china,FALSE
18, 15,"chengdu, sichuan, china (map)",mandarin27,mandarin,male ,1154,china,FALSE
45, 15,"shanghai, china (map)",mandarin28,mandarin,male ,1447,china,FALSE
24, 4,"lanzhou, gansu, china (map)",mandarin29,mandarin,male ,1490,china,FALSE
27, 13,"taipei, taiwan (map)",mandarin30,mandarin,male ,1491,china,FALSE
26, 13,"wenzhou, zhejiang, china (map)",mandarin31,mandarin,female ,1519,china,FALSE
23, 12,"taipei, taiwan (map)",mandarin32,mandarin,female ,1527,china,FALSE
25, 6,"beijing, china (map)",mandarin33,mandarin,male ,1541,china,FALSE
31, 13,"shi jia zhuang, hebei, china (map)",mandarin34,mandarin,female ,1578,china,FALSE
27, 12,"yantai, shandong, china (map)",mandarin35,mandarin,female ,1579,china,FALSE
32, 10,"beijing, china (map)",mandarin36,mandarin,female ,1580,china,FALSE
32, 12,"huhot, nei meng gu, china (map)",mandarin37,mandarin,female ,1581,china,FALSE
33, 12,"changsha, hunan, china (map)",mandarin38,mandarin,female ,1582,china,FALSE
24, 12,"tie ling, liaoning, china (map)",mandarin39,mandarin,female ,1583,china,FALSE
28, 12,"chengdu, sichuan, china (map)",mandarin40,mandarin,male ,1614,china,FALSE
34, 13,"songyuan, jilin, china (map)",mandarin41,mandarin,female ,1615,china,FALSE
47, 16,"yanbian, jilin, china (map)",mandarin42,mandarin,female ,1616,china,FALSE
24, 15,"datong, shanxi, china (map)",mandarin43,mandarin,female ,1617,china,FALSE
21, 16,"hangzhou, zhejiang, china (map)",mandarin44,mandarin,male ,1630,china,FALSE
42, 12,"beijing, china (map)",mandarin45,mandarin,female ,1631,china,FALSE
43, 9,"jilin city, jilin, china (map)",mandarin46,mandarin,female ,1636,china,FALSE
28, 8,"beijing, china (map)",mandarin47,mandarin,female ,1644,china,FALSE
37, 12,"pingdingshan, henan, china (map)",mandarin48,mandarin,male ,1645,china,FALSE
21, 10,"shanghai, china (map)",mandarin49,mandarin,male ,1736,china,FALSE
25, 9,"hsinchu, taiwan (map)",mandarin50,mandarin,male ,1788,china,FALSE
25, 10,"tianjin, hebei, china (map)",mandarin51,mandarin,male ,1792,china,FALSE
26, 6,"shaoxing, zhejiang, china (map)",mandarin52,mandarin,female ,1793,china,FALSE
38, 13,"ningbo, zhejiang, china (map)",mandarin53,mandarin,female ,1817,china,FALSE
25, 10,"chengdu, sichuan, china (map)",mandarin54,mandarin,female ,1900,china,FALSE
25, 13,"loudi, hunan, china (map)",mandarin55,mandarin,female ,1909,china,FALSE
26, 11,"baoding, hebei, china (map)",mandarin56,mandarin,female ,1910,china,FALSE
20, 12,"shanghai, china (map)",mandarin57,mandarin,male ,1990,china,FALSE
23, 7,"superior, colorado, usa (map)",mandarin58,mandarin,male ,2000,china,FALSE
20, 6,"kunming, yunnan, china (map)",mandarin59,mandarin,female ,2019,china,FALSE
41, 13,"guiyang, guizhou, china (map)",mandarin60,mandarin,female ,2109,china,FALSE
33, 16,"shangrao, jiangxi, china (map)",mandarin61,mandarin,female ,2116,china,FALSE
24, 7,"shanghai, china (map)",mandarin62,mandarin,male ,2117,china,FALSE
27, 12,"jiaozuo, henan, china (map)",mandarin63,mandarin,male ,2119,china,FALSE
24, 10,"fuzhou, fujian, china (map)",mandarin64,mandarin,female ,2129,china,FALSE
20, 5,"tianjin, hebei, china (map)",mandarin65,mandarin,female ,2173,china,FALSE
22, 19,"shanghai, china (map)",mandarin66,mandarin,female ,2252,china,FALSE
23, 13,"nanjing, china (map)",mandarin67,mandarin,male ,2274,china,FALSE
23, 10,"dongyang, zhejiang, china (map)",mandarin68,mandarin,male ,2281,china,FALSE
22, 12,"taizhou, jiangsu, china (map)",mandarin69,mandarin,male ,2282,china,FALSE
21, 8,"shanghai, china (map)",mandarin70,mandarin,female ,2291,china,FALSE
20, 6,"chengdu, sichuan, china (map)",mandarin71,mandarin,female ,2294,china,FALSE
22, 10,"taichung, taiwan (map)",mandarin72,mandarin,female ,2306,china,FALSE
27, 10,"chengdu, sichuan, china (map)",mandarin73,mandarin,female ,2319,china,FALSE
19, 13,"shenzhen, china (map)",mandarin74,mandarin,male ,2323,china,FALSE
20, 13,"taipei, taiwan (map)",mandarin75,mandarin,male ,2332,china,FALSE
29, 12,"zhengzhou, henan, china (map)",mandarin76,mandarin,male ,2348,china,FALSE
20, 8,"jingjiang, jiangsu, china (map)",mandarin77,mandarin,female ,2355,china,FALSE
20, 6,"ganzhou, jiangxi, china (map)",mandarin78,mandarin,female ,2360,china,FALSE
19, 2,"johor bahru, malaysia (map)",mandarin79,mandarin,female ,2365,china,FALSE
21, 10,"xi'an, shanxi, china (map)",mandarin80,mandarin,male ,2413,china,FALSE
22, 10,"suzhou, jiangsu, china (map)",mandarin81,mandarin,female ,2414,china,FALSE
23, 13,"wuhai, china (map)",mandarin82,mandarin,female ,2418,china,FALSE
26, 12,"zhengzhou, henan, china (map)",mandarin83,mandarin,female ,2419,china,FALSE
24, 10,"zhengzhou, henan, china (map)",mandarin84,mandarin,female ,2420,china,FALSE
23, 10,"changsha, hunan, china (map)",mandarin85,mandarin,female ,2421,china,FALSE
22, 7,"shenyang, liaoning, china (map)",mandarin86,mandarin,female ,2423,china,FALSE
22, 7,"lanzhou, gansu, china (map)",mandarin87,mandarin,female ,2435,china,FALSE
23, 8,"anqing, anhui, china (map)",mandarin88,mandarin,male ,2447,china,FALSE
19, 12,"taiyuan, shanxi, china (map)",mandarin89,mandarin,male ,2448,china,FALSE
27, 8,"chengdu, sichuan, china (map)",mandarin90,mandarin,male ,2461,china,FALSE
22, 13,"tongcheng, anhui, china (map)",mandarin91,mandarin,male ,2463,china,FALSE
